subjID,cond_dummy,condition,include,filter_var,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
A1LOD3LN,0,Control,4,0,50.88,51.13,50.83,51,51,51,50.75,51,51.13,51,51,51,51.17,51,50.75,51
A1TL1VC8,0,Control,2,0,79.38,74.75,79.33,79,79,77.17,74,74.5,76.13,75.25,77.83,82.83,79,79,74,74.5
AJQS1T44,0,Control,2,0,75.5,75.38,77,68.67,74.83,74.5,76.25,73,72.63,77.25,74.5,75.67,73.83,72.33,76.25,73
A15CL9A9,0,Control,1,1,49.5,45.88,43.67,45.83,48.67,50.67,46.25,44,45.13,51.38,46.17,43.67,50.33,47.5,46.25,44
A35TWG9V,0,Control,1,1,38.25,49.75,62.5,47.33,58.67,47.83,71.25,51.25,43.63,54.13,67.33,46.5,63.83,51.17,71.25,51.25
A1YGENVE,0,Control,1,1,38.13,48.25,69.17,51.33,63.83,46.5,54.25,46.5,42.25,46.38,59.17,51.33,59,50.33,54.25,46.5
AB082QD2,0,Control,1,0,55.5,62,57.33,64.67,54,54.5,66.5,57.5,59.25,56,50.33,58.83,64.17,56.83,66.5,57.5
A16DQUZ8,0,Control,1,1,47.5,52.75,60,40.5,60.5,41.67,75.25,46.5,44.88,53.5,69.5,44.17,70.5,46,75.25,46.5
A2EAN17F,0,Control,2,1,56.75,54.63,59.5,60.5,61.5,46.33,46.5,59.75,47,58.63,43,50,44,34.83,46.5,59.75
AWHZH1TN,0,Control,1,1,52.5,45,31.5,43.83,32.5,47.5,58.75,41.25,57,52.13,36.17,38.5,33.17,41.67,58.75,41.25
A1SVCWSP,0,Control,1,0,57.88,49.75,51.83,49.33,68.5,50.67,75.25,49,56.25,57.13,49.33,51,64.83,54.17,75.25,49
A23954R5,0,Control,2,1,47.25,44.5,66.83,27.67,55.5,40.83,60,43.25,50.63,56.13,59.33,37.5,59.83,45,60,43.25
A2J1VDVD,0,Control,2,1,71.75,62.5,62.83,54,62.83,69,65.25,54.25,71.5,62.75,71.17,64.83,67.33,57.17,65.25,54.25
A6KIHXQ8,0,Control,1,1,47.63,59.63,67,34,66.5,48.33,54.25,47.75,50.25,60.63,47.5,48.5,48.17,42.17,54.25,47.75
ASXZQW6Y,0,Control,1,1,57.38,55.38,73,45.83,76.67,50,63.25,55.75,51.5,57.38,41.67,44.5,48.67,46.83,63.25,55.75
ACVJ6IUO,0,Control,2.3,0,42.25,46.38,51.17,36.5,54,45.5,45.5,42.25,49.5,32.25,40.17,25.5,57.33,37,45.5,42.25
A28T38MO,0,Control,1,0,50.25,50.88,64.17,37.67,49,43.67,66.5,39.75,43.88,52.13,44.67,51.33,48.33,40,66.5,39.75
A21M2USA,0,Control,1,1,49.88,58.13,41.67,29.33,35,35.5,69.5,55.25,50.63,59.25,38,22.17,34.83,28.17,69.5,55.25
A1Y9VA9F,0,Control,1,0,47.5,42.5,69.33,59.5,64.33,58.67,51,49.5,51,49.13,37.83,51.83,17.5,51.5,51,49.5
A2T91F32,0,Control,2,0,48.38,57.38,42.67,56.83,63.83,48,57.75,41,43.5,58.13,49.17,58.33,59.17,37.67,57.75,41
A26NGLGG,0,Control,1,1,49.13,51.63,67.5,35.67,80,33,74.25,44,48.38,53.63,56.17,49,68.17,47.83,74.25,44
A1A6DUWW,0,Control,1,1,61.13,66.13,50.67,47.33,68.67,70,83.75,63.25,58.13,68.88,46,39.17,64.17,44.83,83.75,63.25
A288TV72,0,Control,1,1,50.63,49.63,65.5,48.17,67.67,56.17,50.75,51,55.25,51.75,20.67,36,18.17,43.67,50.75,51
A2CF2BD4,0,Control,1,1,27.38,62.63,64,21.67,65.67,26.33,56,51.5,50.88,58.75,36.5,35.17,35.5,37.83,56,51.5
A28PLNSE,0,Control,1,1,31.88,55,38.67,32.5,39.5,42.83,47.5,67.75,47.38,61.88,17,41.83,25,45.33,47.5,67.75
A2957SZ7,0,Control,1,0,43.88,61.13,62.83,22.83,68.5,39,63,49.25,55.75,62.88,46.67,27,50.5,38.83,63,49.25
A207IHY6,0,Control,1,1,37.75,52.75,72.83,44.5,74.17,47.33,71.75,59.25,39,55.38,92,42.67,87.33,50,71.75,59.25
AMUV60QY,0,Control,1,1,53,63.25,70,68,79.67,57.17,76,59.75,61.88,64.88,32.67,64.67,68.17,59.33,76,59.75
A2NA2OJT,0,Control,3,0,41.5,38.25,74.5,27,62.5,35.5,58.75,39.5,30.75,41.25,71.67,34.33,58.17,31.5,58.75,39.5
A1SD3O07,0,Control,1,1,45.25,61,48.83,37.5,70.5,32.5,72,53,55,57,28.5,32.67,37.83,33.5,72,53
A1SN0UU3,0,Control,1,1,50.75,57.5,59.33,26.33,57.17,23.33,63.25,57.5,49.5,54,20.5,22.17,37.83,24.17,63.25,57.5
