subjID,condition,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
s010001,Control,49.5,45.875,43.66666667,45.83333333,48.66666667,50.66666667,53.33333333,46,45.13,51.38,46.17,43.67,50.33,47.5,47.33333333,46.66666667
s010002,Control,38.25,49.75,62.5,47.33333333,58.66666667,47.83333333,65.66666667,50,43.63,54.13,67.33,46.5,63.83,51.17,71,51.33333333
s010003,Control,38.125,48.25,69.16666667,51.33333333,63.83333333,46.5,50.33333333,44.33333333,42.25,46.38,59.17,51.33,59,50.33,51.33333333,42.66666667
s010004,Control,47.5,52.75,60,40.5,60.5,41.66666667,70.66666667,44.66666667,44.88,53.5,69.5,44.17,70.5,46,74,45.66666667
s010005,Control,56.75,54.625,59.5,60.5,61.5,46.33333333,62.66666667,62.33333333,47,58.63,43,50,44,34.83,48.66666667,56
s010006,Control,52.5,45,31.5,43.83333333,32.5,47.5,45.33333333,51,57,52.13,36.17,38.5,33.17,41.67,64.33333333,43.33333333
s010007,Control,47.25,44.5,66.83333333,27.66666667,55.5,40.83333333,48.66666667,40.66666667,50.63,56.13,59.33,37.5,59.83,45,54.66666667,33.33333333
s010008,Control,71.75,62.5,62.83333333,54,62.83333333,69,58.66666667,64,71.5,62.75,71.17,64.83,67.33,57.17,64.66666667,51
s010009,Control,47.625,59.625,67,34,66.5,48.33333333,57,35.33333333,50.25,60.63,47.5,48.5,48.17,42.17,50.33333333,43.66666667
s010010,Control,57.375,55.375,73,45.83333333,76.66666667,50,70,43.33333333,51.5,57.38,41.67,44.5,48.67,46.83,65.33333333,54.66666667
s010011,Control,49.875,58.125,41.66666667,29.33333333,35,35.5,59,39.33333333,50.63,59.25,38,22.17,34.83,28.17,71.33333333,54.33333333
s010012,Control,49.125,51.625,67.5,35.66666667,80,33,81.33333333,28,48.38,53.63,56.17,49,68.17,47.83,72,33.33333333
s010013,Control,61.125,66.125,50.66666667,47.33333333,68.66666667,70,89.66666667,57.33333333,58.13,68.88,46,39.17,64.17,44.83,91.66666667,61
s010014,Control,50.625,49.625,65.5,48.16666667,67.66666667,56.16666667,86.33333333,38.33333333,55.25,51.75,20.67,36,18.17,43.67,50.66666667,51
s010015,Control,27.375,62.625,64,21.66666667,65.66666667,26.33333333,73.66666667,30.33333333,50.88,58.75,36.5,35.17,35.5,37.83,54.33333333,48.33333333
s010016,Control,31.875,55,38.66666667,32.5,39.5,42.83333333,58,58.66666667,47.38,61.88,17,41.83,25,45.33,49.33333333,62.66666667
s010017,Control,37.75,52.75,72.83333333,44.5,74.16666667,47.33333333,51.66666667,53.66666667,39,55.38,92,42.67,87.33,50,63.66666667,57
s010018,Control,53,63.25,70,68,79.66666667,57.16666667,85,65.66666667,61.88,64.88,32.67,64.67,68.17,59.33,78.33333333,48.33333333
s010019,Control,45.25,61,48.83333333,37.5,70.5,32.5,83.33333333,35.66666667,55,57,28.5,32.67,37.83,33.5,71.66666667,45.33333333
s010020,Control,50.75,57.5,59.33333333,26.33333333,57.16666667,23.33333333,74.66666667,57.66666667,49.5,54,20.5,22.17,37.83,24.17,66.33333333,54.33333333
s010021,Control,55.75,66.625,58.16666667,32.33333333,53.5,41,90.33333333,40.66666667,53.25,57,43.83,52.33,36.33,59.67,94,27.66666667
s010022,Control,54.5,65.625,71.33333333,72.66666667,71.5,63.5,66.66666667,71.66666667,46.25,71.38,63.17,65.17,64.83,75.67,62.66666667,68.33333333
s010023,Control,31.875,60.625,75,24.16666667,80,35,80,28.66666667,45.63,51.25,54.17,48.33,71.67,50,50,38.33333333
s010024,Control,26.625,48,43.16666667,50.83333333,54.16666667,46.66666667,53.33333333,30.66666667,26.38,53.88,10.17,42.33,17.5,38.33,63,41.33333333
s010025,Control,39.75,46.375,23.5,17.83333333,20.33333333,17.83333333,57,18,39.75,42.63,11,20.33,0,13,61.66666667,19.33333333
s010026,Control,36.25,63.125,82.5,33.33333333,77.5,37.5,75,21.66666667,45,53.13,38.33,43.33,42.5,44.17,50,38.33333333
s010027,Control,66.625,48,76.16666667,43,77.33333333,36.83333333,56,60.33333333,59.38,50.5,80.83,37,65.33,37.67,69.66666667,56.33333333
s010028,Control,47.375,67.5,43.33333333,28.66666667,51,35.16666667,81,68.66666667,67.5,72.25,35,32,34.33,36.83,68.33333333,69.33333333
s010029,Control,43.875,64.375,70.33333333,32,65.16666667,37.16666667,90.66666667,75.33333333,53.63,60.25,27.67,31.33,43.5,39.33,85,71.33333333
s010030,Control,41.125,38.625,69.16666667,62.33333333,68.33333333,64,51,40.66666667,73.63,35.88,11.83,69.17,13.5,64.67,50.66666667,30
s010031,Control,31.375,46.25,36.83333333,11.66666667,16.66666667,8.166666667,66.66666667,43.33333333,40,51.25,26.67,10,11.67,10,63.33333333,46.66666667
s010032,Control,37.875,45.125,20.33333333,19.16666667,36.66666667,27.16666667,78.33333333,8.666666667,54.5,36.88,9.33,25,23.33,41.5,54.66666667,35.66666667
s010033,Control,59.25,33.25,52,50,55,69,58.66666667,38.33333333,43.75,44.5,8.17,52.83,4.83,63.33,19,38.33333333
s010034,Control,32.875,58.75,82.66666667,20.5,67,25,81.33333333,15.66666667,57.5,48.63,39.83,45.5,21.5,47.33,48.66666667,34.33333333
s010035,Control,31,49.5,89.83333333,31.5,87,40.66666667,65.66666667,46,34.5,60.25,58.67,38.67,54.83,34.67,66,51
s010036,Control,49.75,55.875,85.66666667,32.5,88.33333333,46.66666667,77.66666667,45.33333333,71.63,68.13,29,46.17,52.67,64.33,81.33333333,65.66666667
s010037,Control,38.125,56.25,79.16666667,35,78.33333333,35.83333333,81.66666667,35,39.38,53.75,75,39.17,70,29.17,81.66666667,26.66666667
s010038,Control,41.75,51.625,49,37,60,28.33333333,37.66666667,42.66666667,38.63,51.63,27,18,43.67,19.67,20.33333333,18.33333333
s010039,Control,40.375,60.625,64.83333333,32.83333333,58.66666667,44.5,67.66666667,39,46,61.88,4.83,42,3.67,78.5,50.33333333,51
s010040,Control,18.75,68.125,64.16666667,20,50,23.33333333,95,39.66666667,48.88,58.25,12.5,16.67,23.33,34.33,91.66666667,47
s010041,Control,45.625,58.125,37.5,10,40,12.5,51.66666667,58.33333333,58.13,60.63,30,20,23.33,7.5,65,63.33333333
s010042,Control,49.875,45,51,45.16666667,51.83333333,52.5,77,39,30.88,63.75,96.83,15.17,100,17.17,88.66666667,49.66666667
s010043,Control,57.125,52.125,76.66666667,44,85.66666667,52.66666667,89,41,73.25,53.75,18.33,54,13,67.67,100,52.33333333
s010044,Control,13.25,25.5,61.66666667,60.33333333,72,23.83333333,47.66666667,20,53.63,54.25,15,66.33,9,52.83,50,35.66666667
s010045,Control,30.875,65.625,22.66666667,6.666666667,42,4.166666667,64.66666667,60,62.63,64.63,26.83,10,29.5,13.17,79.66666667,54
s010046,Control,52.75,75.375,79.5,26.66666667,82.16666667,29.83333333,90.66666667,28,53,77.25,44.67,11.5,70.67,19.5,74,3.666666667
s010047,Control,13.75,58.75,63.33333333,0,73.33333333,5,86.66666667,0,27.5,61.25,16.67,11.67,30,25,66.66666667,30
