iat_subj_id,condition,first_iat,host_d,ses_d,eval_d,age,gender,race
255,1,0.5,0.23,0.78,-0.07,19,Female,Asian
368,0,0.5,-0.2,0.51,0.12,18,Female,Asian
375,1,0.5,0.33,0.08,0.3,21,Female,Asian
376,0,0.5,-0.5,-0.27,-0.5,19,Female,Asian
296,0,0.5,0.61,0.01,0.13,21,Male,Asian
335,1,0.5,0.37,0.3,0.29,18,Female,Asian
260,0,0.5,0.17,-0.08,0.2,19,Female,Asian
223,1,0.5,0.59,0.35,0.55,18,Male,Asian
396,0,0.5,0.49,0.46,0.46,19,Male,Asian
280,0,0.5,-0.14,0.32,0.35,20,Female,Asian
303,1,0.5,0.45,0.31,0.63,19,Female,Asian
320,0,0.5,0.71,0.69,0.54,18,Female,Asian
219,1,0.5,0.22,-0.2,0.29,21,Female,Asian
399,1,0.5,0.65,0.67,0.65,20,Female,Asian
239,1,0.5,0.42,0.2,0.75,18,Female,Asian
388,0,0.5,-0.32,-0.3,-0.01,19,Female,Asian
231,1,0.5,0.54,0.87,0.6,20,Female,Asian
327,1,0.5,0.08,0.28,-0.33,19,Male,Asian
404,0,0.5,-0.34,0.38,0.07,20,Male,Asian
276,0,0.5,0.56,0.72,-0.18,19,Male,Asian
215,1,0.5,0.32,0.27,1.22,21,Male,Asian
220,0,0.5,-0.04,0.74,0.29,23,Male,Asian
356,0,0.5,0.46,0.47,0.51,20,Male,Asian
359,1,0.5,0.03,0.66,0.16,20,Male,Asian
287,1,0.5,0.95,0.24,0.59,21,Male,Asian
383,1,0.5,0.12,0.76,0.27,22,Male,Asian
211,1,0.5,0.53,0.23,0.23,18,Female,Asian
339,1,0.5,0.31,0.34,0.51,20,Female,Asian
259,1,0.5,0.22,-0.37,-0.31,18,Female,Asian
348,0,0.5,0.15,0.36,0.16,19,Female,Asian
279,1,0.5,0.53,0.43,-0.1,21,Male,Asian
384,0,0.5,-0.12,0.33,0.27,21,Female,Asian
363,1,0.5,0.49,0.78,0.72,20,Male,Asian
331,1,0.5,0.82,0.53,0.59,18,Male,Asian
403,1,0.5,0.23,0.48,0.26,18,Male,Asian
360,0,0.5,0.4,0.53,0.37,18,Male,Asian
227,1,0.5,-0.28,-0.04,0.23,19,Female,Asian
267,1,0.5,0.39,0.19,-0.1,19,Male,Asian
336,0,0.5,0.32,0.02,-0.02,18,Female,Asian
216,0,0.5,0.13,-0.07,-0.23,22,Female,Asian
348,0,0.5,0.15,0.36,0.16,20,Female,Asian
228,0,0.5,1.12,0.97,0.7,23,Male,Asian
300,0,0.5,0.07,0.58,0.53,19,Female,Asian
263,1,0.5,0.71,1.25,1.01,19,Male,Asian
287,1,0.5,0.95,0.24,0.59,20,Male,Asian
283,1,0.5,0.58,0.8,0.41,21,Male,Asian
347,1,0.5,0.49,0.7,0.7,18,Female,Asian
230,0,-0.5,0.52,-0.07,0.17,23,Female,Asian
206,0,-0.5,0.74,0.23,0.59,19,Male,Asian
226,0,-0.5,0.56,0.32,0.17,20,Female,Asian
386,0,-0.5,1,0.38,0.08,21,Female,Asian
202,0,-0.5,0.08,0.17,0.16,19,Female,Asian
338,0,-0.5,1.01,0.23,0.52,18,Male,Asian
290,0,-0.5,0.37,-0.08,0.33,19,Female,Asian
326,0,-0.5,0.63,-0.04,-0.03,18,Female,Asian
385,1,-0.5,0.43,0.31,0.24,19,Female,Asian
297,1,-0.5,0.52,0.05,-0.08,22,Male,Asian
325,0,-0.5,0.58,-0.04,0.25,18,Male,Asian
378,0,-0.5,0.11,0.38,0.62,19,Male,Asian
318,0,-0.5,0.46,0.46,-0.04,19,Male,Asian
221,1,-0.5,0.06,0.33,-0.43,20,Female,Asian
209,1,-0.5,0.76,0.14,-0.33,18,Female,Asian
329,1,-0.5,0.25,0.17,0.46,18,Male,Asian
222,0,-0.5,0.01,0.08,0.61,19,Male,Asian
201,1,-0.5,0.65,0.08,0.15,19,Male,Asian
234,0,-0.5,0.1,-0.11,0.14,23,Female,Asian
317,1,-0.5,0.2,0.44,0.48,20,Female,Asian
253,1,-0.5,0.55,0.9,0.27,20,Female,Asian
306,0,-0.5,0.04,0.84,0.4,21,Female,Asian
322,0,-0.5,0.18,-0.5,-1.09,20,Female,Asian
341,1,-0.5,-0.06,0.53,-0.07,18,Female,Asian
298,0,-0.5,0.44,0.17,0.4,22,Male,Asian
266,0,-0.5,-0.36,0,-0.21,20,Male,Asian
358,0,-0.5,0.65,0.5,0.75,25,Male,Asian
242,0,-0.5,1.01,-0.05,0.59,18,Female,Asian
345,1,-0.5,0.25,0.56,0.38,18,Female,Asian
302,0,-0.5,-0.23,0.25,-0.29,19,Female,Asian
254,0,-0.5,0.19,0.47,0.13,27,Female,Asian
252,0,0.5,0.12,0.29,0.32,20,Male,"Asian,Hispanic,Native Hawaiian or Other Pacific Islander"
315,1,0.5,-0.48,0.49,0.51,20,Female,"Asian,Native Hawaiian or Other Pacific Islander"
306,0,-0.5,0.04,0.84,0.4,18,Male,"Asian,Native Hawaiian or Other Pacific Islander"
352,0,0.5,-0.14,0.34,-0.12,18,Female,"Asian,Other"
264,0,0.5,0.17,0,0.24,18,Female,Hispanic
291,1,0.5,0.31,0.89,0.32,19,Female,Hispanic
395,1,0.5,-0.16,-0.07,0.03,19,Male,Hispanic
304,0,0.5,0.78,0.98,0.38,20,Male,Hispanic
329,1,-0.5,0.25,0.17,0.46,18,Female,Hispanic
369,1,-0.5,-0.32,0.26,-0.43,19,Female,Hispanic
261,1,-0.5,0.1,0.17,0.33,22,Male,Hispanic
361,1,-0.5,0.53,-0.39,-0.09,18,Male,Hispanic
281,1,-0.5,0.07,0.69,0.58,18,Male,Hispanic
390,0,-0.5,0.31,0.13,0.34,19,Female,Hispanic
337,1,-0.5,0.64,0.06,-0.22,19,Male,Hispanic
342,0,-0.5,0.48,0.15,0,28,Male,Hispanic
