subj_id,CEH_like,CEL_like,SEH_like,SEL_like,CEH_wealthy,CEL_wealthy,SEH_wealthy,SEL_wealthy,CEH_hostile,CEL_hostile,SEH_hostile,SEL_hostile,CEH_positive,CEL_positive,SEH_positive,SEL_positive,CEH_educated,CEL_educated,SEH_educated,SEL_educated,CEH_aggressive,CEL_aggressive,SEH_aggressive,SEL_aggressive,CSH_like,CSL_like,SSH_like,SSL_like,CSH_wealthy,CSL_wealthy,SSH_wealthy,SSL_wealthy,CSH_hostile,CSL_hostile,SSH_hostile,SSL_hostile,CSH_positive,CSL_positive,SSH_positive,SSL_positive,CSH_educated,CSL_educated,SSH_educated,SSL_educated,CSH_aggressive,CSL_aggressive,SSH_aggressive,SSL_aggressive,CHH_like,CHL_like,SHH_like,SHL_like,CHH_wealthy,CHL_wealthy,SHH_wealthy,SHL_wealthy,CHH_hostile,CHL_hostile,SHH_hostile,SHL_hostile,CHH_positive,CHL_positive,SHH_positive,SHL_positive,CHH_educated,CHL_educated,SHH_educated,SHL_educated,CHH_aggressive,CHL_aggressive,SHH_aggressive,SHL_aggressive,gender,age,race
85,5,5,5,5,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,4,3,3,3,5,5,5,5,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,6,6,6,6,3,3,3,3,5,5,5,5,6,6,6,6,5,5,5,5,3,3,4,3,Male,26,"American Indian or Alaskan Native,White"
49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Male,29,Asian
94,4,8,3,7,5,8,3,6,9,3,8,6,2,7,1,6,3,4,2,6,7,8,5,9,7,8,3,4,7,6,1,3,2,4,5,3,2,4,1,3,4,5,1,3,3,2,1,3,9,7,2,6,9,3,5,4,3,7,6,7,8,4,3,4,9,2,4,5,7,9,5,10,Male,37,Asian
97,5,6,6,5,4,5,4,4,4,5,6,6,6,6,6,6,6,7,6,6,6,7,7,7,2,6,2,5,3,7,3,4,8,4,7,6,3,4,3,6,2,7,2,5,8,3,6,6,6,6,5,6,4,5,5,7,5,6,7,7,5,4,4,6,5,6,4,4,4,5,4,7,Female,31,Asian
11,6,7,6,7,1,1,1,1,6,5,6,7,2,3,3,2,1,2,1,2,7,7,8,8,5,5,5,5,1,1,1,1,2,3,2,1,1,3,3,4,1,1,1,1,8,7,8,7,6,6,6,6,1,1,2,1,7,8,8,7,5,5,5,5,1,1,1,1,6,6,6,6,Male,38,"White,Hispanic"
18,8,6,1,3,8,8,3,4,10,1,4,2,8,6,3,3,1,4,3,5,8,5,4,1,1,2,1,5,3,5,9,7,3,4,5,2,1,4,7,3,2,8,10,10,9,3,8,9,7,10,4,8,4,3,3,2,1,5,2,2,3,2,3,2,3,4,5,2,10,1,3,5,Male,22,"White,Hispanic"
21,8,6,8,6,4,7,5,8,8,5,8,6,5,9,5,7,3,7,5,6,7,6,8,6,5,8,5,8,7,9,5,7,5,8,7,8,6,8,5,6,8,9,9,8,8,8,5,8,8,6,7,6,8,5,7,6,8,6,7,6,8,8,9,8,7,9,9,8,8,8,9,8,Female,28,"White,Hispanic"
26,9,8,8,8,9,8,8,8,8,8,7,7,8,7,7,8,8,7,7,7,7,6,6,6,7,6,6,6,7,7,7,7,8,7,7,7,8,7,6,6,8,7,7,7,8,8,8,9,6,6,6,6,8,7,7,6,6,6,6,6,9,8,8,8,7,8,8,9,7,7,7,7,Male,32,"White,Hispanic"
32,3,6,6,4,3,7,6,3,8,3,4,7,7,7,6,5,8,7,6,4,2,3,3,7,3,8,7,4,3,7,5,3,8,3,5,7,7,7,6,4,3,7,6,4,3,4,3,7,3,8,7,3,2,7,6,3,8,4,4,9,3,9,7,4,3,8,6,3,8,3,6,9,Male,31,"White,Hispanic"
35,1,1,1,1,1,1,1,1,10,8,10,8,1,3,1,3,1,3,1,3,10,1,10,1,1,1,1,1,1,3,1,1,10,10,10,10,1,2,1,1,1,3,1,3,10,10,10,10,1,1,1,1,1,1,1,1,8,10,9,10,1,4,1,1,2,2,1,4,10,10,10,10,Female,25,"White,Hispanic"
